PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT
201939,"Curry, Stephen",1,18,14,0-2 Feet - Very Tight,0.077,15,25,0.6,0.6,0.068,15,22,0.682,0.009,0,3,0.0
201939,"Curry, Stephen",2,18,17,2-4 Feet - Tight,0.3,37,97,0.381,0.433,0.195,27,63,0.429,0.105,10,34,0.294
201939,"Curry, Stephen",3,18,18,4-6 Feet - Open,0.39,60,126,0.476,0.659,0.093,14,30,0.467,0.297,46,96,0.479
201939,"Curry, Stephen",4,18,18,6+ Feet - Wide Open,0.232,36,75,0.48,0.64,0.037,12,12,1.0,0.195,24,63,0.381
